Water_Intake,Sleep_Hours,Steps_Per_Day,Junk_Food_Score,Screen_Time,Stress_Level,Lifestyle
3.0,8.0,10000,2,2.5,2,Healthy
1.5,5.0,3000,8,7.5,8,Unhealthy
2.5,6.5,7000,4,4.0,5,Moderate
3.2,7.0,12000,1,2.0,2,Healthy
1.8,5.5,4000,7,6.0,7,Unhealthy
2.2,6.0,8000,3,4.0,4,Moderate
3.5,8.5,13000,0,1.5,1,Healthy
1.2,4.5,2000,9,8.0,9,Unhealthy
2.8,6.8,8500,4,3.5,4,Moderate
3.0,7.5,11000,2,2.5,3,Healthy
2.0,6.0,6000,5,5.0,6,Moderate
1.4,4.8,2500,8,7.0,8,Unhealthy
3.3,8.2,11500,1,2.0,2,Healthy
2.1,6.3,7500,4,4.5,5,Moderate
1.6,5.2,3500,7,6.5,7,Unhealthy
2.9,7.0,9000,3,3.0,3,Healthy
2.4,6.5,8200,4,4.0,5,Moderate
1.7,5.0,3000,8,7.0,8,Unhealthy
3.1,7.8,12500,1,2.0,2,Healthy
1.3,4.6,2200,9,8.0,9,Unhealthy
2.6,6.8,8500,3,3.5,4,Moderate
3.4,8.0,12800,0,1.2,1,Healthy
2.3,6.2,7800,4,4.3,5,Moderate
1.9,5.3,3200,7,6.2,7,Unhealthy
3.0,7.4,11200,2,2.5,2,Healthy
2.7,6.9,9000,3,3.0,4,Moderate
1.5,5.0,2800,8,7.5,8,Unhealthy
3.2,8.1,12300,1,2.0,2,Healthy
2.2,6.4,7600,4,4.2,5,Moderate
1.8,5.4,3800,7,6.0,7,Unhealthy
